Gennaio 2025,1100
Febbraio 2025,3229
Marzo 2025,6356
Aprile 2025,6051
Maggio 2025,6780
Giugno 2025,3382
Luglio 2025,2124
Agosto 2025,2474
Settembre 2025,6630
Ottobre 2025,3523
Novembre 2025,6079
Dicembre 2025,8588
Gennaio 2026,3115
Febbraio 2026,1328
Marzo 2026,7903
Aprile 2026,8089
Maggio 2026,2053
Giugno 2026,2529
Luglio 2026,1164
Agosto 2026,9540
Settembre 2026,1121
Ottobre 2026,9424
Novembre 2026,5878
Dicembre 2026,2113
Gennaio 2027,5006
Febbraio 2027,8776
Marzo 2027,5147
Aprile 2027,8775
Maggio 2027,7379
Giugno 2027,8418
Luglio 2027,7135
Agosto 2027,9270
Settembre 2027,4367
Ottobre 2027,7903
Novembre 2027,5304
Dicembre 2027,8480
Gennaio 2028,7129
Febbraio 2028,5019
Marzo 2028,5043
Aprile 2028,4993
Maggio 2028,7275
Giugno 2028,9974
Luglio 2028,1006
Agosto 2028,9082
Settembre 2028,6318
Ottobre 2028,3862
Novembre 2028,6433
Dicembre 2028,1479
Gennaio 2029,4110
Febbraio 2029,8274
Marzo 2029,4146
Aprile 2029,2837
Maggio 2029,7878
Giugno 2029,8255
Luglio 2029,6838
Agosto 2029,5677
Settembre 2029,1206
Ottobre 2029,7241
Novembre 2029,7980
Dicembre 2029,7805
Gennaio 2030,5947
Febbraio 2030,8607
Marzo 2030,4576
Aprile 2030,4695
Maggio 2030,2468
Giugno 2030,1351
Luglio 2030,3797
Agosto 2030,6885
Settembre 2030,1076
Ottobre 2030,3327
Novembre 2030,9465
Dicembre 2030,9264
Gennaio 2031,1872
Febbraio 2031,9937
Marzo 2031,7496
Aprile 2031,2399
Maggio 2031,5613
Giugno 2031,8574
Luglio 2031,3274
Agosto 2031,1565
Settembre 2031,4357
Ottobre 2031,1153
Novembre 2031,1154
Dicembre 2031,6954
Gennaio 2032,7560
Febbraio 2032,8868
Marzo 2032,6624
Aprile 2032,2823
Maggio 2032,4397
Giugno 2032,2588
Luglio 2032,2696
Agosto 2032,8362
Settembre 2032,4403
Ottobre 2032,3683
Novembre 2032,1168
Dicembre 2032,3324
Gennaio 2033,9979
Febbraio 2033,1074
Marzo 2033,4336
Aprile 2033,1941
Maggio 2033,7650
Giugno 2033,7382
Luglio 2033,9136
Agosto 2033,8656
Settembre 2033,3731
Ottobre 2033,9732
Novembre 2033,9880
Dicembre 2033,3142
Gennaio 2034,9655
Febbraio 2034,1030
Marzo 2034,4104
Aprile 2034,5057
Maggio 2034,4375
Giugno 2034,9349
Luglio 2034,5435
Agosto 2034,3616
Settembre 2034,9187
Ottobre 2034,9435
Novembre 2034,7904
Dicembre 2034,9724
